"loan_id","customer_id","gender","age","income","loan_amount","loan_status","credit_history","application_date","defaulted"
"1001","5001","M","34","100000.0","80000.0","Rejected","1","2020-01-01 00:00:00.000000000","0"
"1002","5002","F","25","30000.0","180000.0","Rejected","1","2020-01-01 00:39:25.259131478","0"
"1003","5003","F","26","115000.0","200000.0","Approved","1","2020-01-01 01:18:50.518262956","0"
"1004","5004","F","29","105000.0","180000.0","Rejected","1","2020-01-01 01:58:15.777394434","0"
"1005","5005","M","30","110000.0","180000.0","Rejected","1","2020-01-01 02:37:41.036525913","0"
"1006","5006","M","31","45000.0","90000.0","Approved","1","2020-01-01 03:17:06.295657391","0"
"1007","5007","M","32","50000.0","200000.0","Rejected","1","2020-01-01 03:56:31.554788869","0"
"1008","5008","F","41","65000.0","0.0","Rejected","0","2020-01-01 04:35:56.813920348","1"
"1009","5009","F","44","40000.0","0.0","Approved","1","2020-01-01 05:15:22.073051826","0"
"1010","5010","F","35","65000.0","130000.0","Approved","1","2020-01-01 05:54:47.332183304","0"
"1011","5011","M","62","20000.0","230000.0","Approved","1","2020-01-01 06:34:12.591314782","0"
"1012","5012","unknown","46","110000.0","160000.0","Approved","1","2020-01-01 07:13:37.850446261","0"
"1013","5013","F","56","35000.0","80000.0","Rejected","1","2020-01-01 07:53:03.109577739","0"
"1014","5014","M","62","70000.0","240000.0","Approved","1","2020-01-01 08:32:28.368709217","0"
"1015","5015","M","28","115000.0","130000.0","Approved","1","2020-01-01 09:11:53.627840696","0"
"1016","5016","M","40","100000.0","240000.0","Rejected","1","2020-01-01 09:51:18.886972174","0"
"1017","5017","M","40","100000.0","140000.0","Approved","0","2020-01-01 10:30:44.146103652","1"
"1018","5018","F","37","80000.0","90000.0","Rejected","0","2020-01-01 11:10:09.405235130","1"
"1019","5019","M","21","60000.0","260000.0","Approved","1","2020-01-01 11:49:34.664366609","0"
"1020","5020","M","58","65000.0","60000.0","Approved","1","2020-01-01 12:28:59.923498087","0"
"1021","5021","F","26","25000.0","140000.0","Rejected","0","2020-01-01 13:08:25.182629565","1"
"1022","5022","M","21","25000.0","220000.0","Rejected","1","2020-01-01 13:47:50.441761044","0"
"1023","5023","M","56","105000.0","270000.0","Approved","-1","2020-01-01 14:27:15.700892522","-1"
"1024","5024","M","47","60000.0","90000.0","Rejected","1","2020-01-01 15:06:40.960024000","0"
"1025","5025","M","28","25000.0","70000.0","Approved","1","2020-01-01 15:46:06.219155478","0"
"1026","5026","F","44","85000.0","120000.0","Approved","1","2020-01-01 16:25:31.478286957","0"
"1027","5027","M","32","90000.0","110000.0","pending","-1","2020-01-01 17:04:56.737418435","-1"
"1028","5028","F","32","40000.0","220000.0","Rejected","1","2020-01-01 17:44:21.996549913","0"
"1029","5029","F","58","60000.0","110000.0","Rejected","1","2020-01-01 18:23:47.255681392","0"
"1030","5030","M","38","75000.0","210000.0","Rejected","1","2020-01-01 19:03:12.514812870","0"
"1031","5031","F","41","80000.0","210000.0","pending","1","2020-01-01 19:42:37.773944348","0"
"1032","5032","M","59","70000.0","250000.0","pending","1","2020-01-01 20:22:03.033075826","0"
"1033","5033","M","24","55000.0","200000.0","Approved","0","2020-01-01 21:01:28.292207305","1"
"1034","5034","F","47","25000.0","280000.0","Rejected","1","2020-01-01 21:40:53.551338783","0"
"1035","5035","unknown","47","20000.0","220000.0","Approved","1","2020-01-01 22:20:18.810470261","0"
"1036","5036","F","40","65000.0","110000.0","Rejected","0","2020-01-01 22:59:44.069601740","1"
"1037","5037","M","58","40000.0","290000.0","Rejected","1","2020-01-01 23:39:09.328733218","0"
"1038","5038","M","63","115000.0","90000.0","Rejected","1","2020-01-02 00:18:34.587864696","0"
"1039","5039","F","42","85000.0","90000.0","Approved","0","2020-01-02 00:57:59.846996174","1"
"1040","5040","M","41","80000.0","240000.0","Approved","1","2020-01-02 01:37:25.106127653","0"
"1041","5041","M","43","60000.0","180000.0","Rejected","0","2020-01-02 02:16:50.365259131","1"
"1042","5042","F","53","50000.0","90000.0","Rejected","1","2020-01-02 02:56:15.624390609","0"
"1043","5043","M","51","35000.0","70000.0","Rejected","0","2020-01-02 03:35:40.883522088","1"
"1044","5044","F","31","25000.0","90000.0","Rejected","1","2020-01-02 04:15:06.142653566","0"
"1045","5045","M","23","85000.0","280000.0","Rejected","0","2020-01-02 04:54:31.401785044","1"
"1046","5046","F","64","100000.0","200000.0","Rejected","0","2020-01-02 05:33:56.660916522","1"
"1047","5047","M","32","105000.0","230000.0","Approved","0","2020-01-02 06:13:21.920048001","1"
"1048","5048","F","49","90000.0","80000.0","Approved","1","2020-01-02 06:52:47.179179479","0"
"1049","5049","F","58","110000.0","140000.0","Rejected","1","2020-01-02 07:32:12.438310957","0"
"1050","5050","M","34","25000.0","190000.0","Approved","0","2020-01-02 08:11:37.697442436","1"
"1051","5051","unknown","49","115000.0","180000.0","Rejected","0","2020-01-02 08:51:02.956573914","1"
"1052","5052","F","25","80000.0","140000.0","Rejected","0","2020-01-02 09:30:28.215705392","1"
"1053","5053","F","64","40000.0","70000.0","Approved","0","2020-01-02 10:09:53.474836870","1"
"1054","5054","F","23","30000.0","220000.0","Rejected","1","2020-01-02 10:49:18.733968349","0"
"1055","5055","F","40","25000.0","200000.0","Rejected","0","2020-01-02 11:28:43.993099827","1"
"1056","5056","F","45","50000.0","150000.0","Approved","0","2020-01-02 12:08:09.252231305","1"
"1057","5057","M","56","20000.0","280000.0","Approved","0","2020-01-02 12:47:34.511362784","1"
"1058","5058","M","26","60000.0","240000.0","Approved","1","2020-01-02 13:26:59.770494262","0"
"1059","5059","M","40","95000.0","140000.0","Approved","1","2020-01-02 14:06:25.029625740","0"
"1060","5060","M","34","110000.0","60000.0","Rejected","0","2020-01-02 14:45:50.288757218","1"
"1061","5061","M","35","65000.0","250000.0","Rejected","1","2020-01-02 15:25:15.547888697","0"
"1062","5062","M","56","50000.0","160000.0","Approved","1","2020-01-02 16:04:40.807020175","0"
"1063","5063","F","21","100000.0","170000.0","Approved","1","2020-01-02 16:44:06.066151653","0"
"1064","5064","M","54","70000.0","200000.0","Approved","1","2020-01-02 17:23:31.325283132","0"
"1065","5065","M","57","25000.0","220000.0","Rejected","0","2020-01-02 18:02:56.584414610","1"
"1066","5066","F","61","110000.0","200000.0","Approved","1","2020-01-02 18:42:21.843546088","0"
"1067","5067","M","49","85000.0","120000.0","Rejected","1","2020-01-02 19:21:47.102677566","0"
"1068","5068","F","36","20000.0","90000.0","Rejected","1","2020-01-02 20:01:12.361809045","0"
"1069","5069","M","40","20000.0","50000.0","Approved","0","2020-01-02 20:40:37.620940523","1"
"1070","5070","unknown","64","25000.0","50000.0","Approved","1","2020-01-02 21:20:02.880072001","0"
"1071","5071","F","60","100000.0","270000.0","Rejected","1","2020-01-02 21:59:28.139203480","0"
"1072","5072","M","42","65000.0","0.0","Rejected","0","2020-01-02 22:38:53.398334958","1"
"1073","5073","M","63","50000.0","140000.0","Rejected","-1","2020-01-02 23:18:18.657466436","-1"
"1074","5074","F","58","45000.0","100000.0","Rejected","0","2020-01-02 23:57:43.916597914","1"
"1075","5075","F","61","70000.0","150000.0","Rejected","-1","2020-01-03 00:37:09.175729393","-1"
"1076","5076","F","51","25000.0","70000.0","Rejected","0","2020-01-03 01:16:34.434860871","1"
"1077","5077","F","59","80000.0","210000.0","Rejected","0","2020-01-03 01:55:59.693992349","1"
"1078","5078","M","61","55000.0","100000.0","Approved","1","2020-01-03 02:35:24.953123828","0"
