loan_id,customer_id,gender,age,income,loan_amount,loan_status,credit_history,application_date
1001,5001,M,34,100000.0,80000.0,Rejected,1,2020-01-01 00:00:00.000000000
1002,5002,F,25,30000.0,180000.0,Rejected,1,2020-01-01 00:39:25.259131478
1003,5003,F,26,115000.0,200000.0,Approved,1,2020-01-01 01:18:50.518262956
1004,5004,F,29,105000.0,180000.0,Rejected,1,2020-01-01 01:58:15.777394434
1005,5005,M,30,110000.0,180000.0,Rejected,1,2020-01-01 02:37:41.036525913
1006,5006,M,31,45000.0,90000.0,Approved,1,2020-01-01 03:17:06.295657391
1007,5007,M,32,50000.0,200000.0,Rejected,1,2020-01-01 03:56:31.554788869
1008,5008,F,41,65000.0,0.0,Rejected,0,2020-01-01 04:35:56.813920348
1009,5009,F,44,40000.0,0.0,Approved,1,2020-01-01 05:15:22.073051826
1010,5010,F,35,65000.0,130000.0,Approved,1,2020-01-01 05:54:47.332183304
1011,5011,M,62,20000.0,230000.0,Approved,1,2020-01-01 06:34:12.591314782
1012,5012,unknown,46,110000.0,160000.0,Approved,1,2020-01-01 07:13:37.850446261
1013,5013,F,56,35000.0,80000.0,Rejected,1,2020-01-01 07:53:03.109577739
1014,5014,M,62,70000.0,240000.0,Approved,1,2020-01-01 08:32:28.368709217
1015,5015,M,28,115000.0,130000.0,Approved,1,2020-01-01 09:11:53.627840696
1016,5016,M,40,100000.0,240000.0,Rejected,1,2020-01-01 09:51:18.886972174
1017,5017,M,40,100000.0,140000.0,Approved,0,2020-01-01 10:30:44.146103652
1018,5018,F,37,80000.0,90000.0,Rejected,0,2020-01-01 11:10:09.405235130
1019,5019,M,21,60000.0,260000.0,Approved,1,2020-01-01 11:49:34.664366609
1020,5020,M,58,65000.0,60000.0,Approved,1,2020-01-01 12:28:59.923498087
1021,5021,F,26,25000.0,140000.0,Rejected,0,2020-01-01 13:08:25.182629565
1022,5022,M,21,25000.0,220000.0,Rejected,1,2020-01-01 13:47:50.441761044
1023,5023,M,56,105000.0,270000.0,Approved,-1,2020-01-01 14:27:15.700892522
